Unix Timestamp,Date,Symbol,Open,High,Low,Close,Volume BTC,Volume USD
1523628000,2018-04-13 02-PM,BTCUSD,8098.49,8124.35,8040.53,8115.23,195.85,1585314.17
1523624400,2018-04-13 01-PM,BTCUSD,8196.87,8201.64,8027.95,8098.49,203.86,1657231.53
1523620800,2018-04-13 12-PM,BTCUSD,8086.9,8218.74,8086.9,8196.87,132.29,1079543.1
1523617200,2018-04-13 11-AM,BTCUSD,8070,8141.04,8068.28,8086.9,73.73,597855.37
1523613600,2018-04-13 10-AM,BTCUSD,8065.87,8086.99,8016.77,8070,132.08,1064333.4
1523610000,2018-04-13 09-AM,BTCUSD,8111.59,8150,8060,8065.87,150.06,1217212.11
1523606400,2018-04-13 08-AM,BTCUSD,8122.24,8146.88,8057.19,8111.59,146.4,1184991.68
1523602800,2018-04-13 07-AM,BTCUSD,7812.35,8179.41,7812.35,8122.24,291.36,2345201.08
1523599200,2018-04-13 06-AM,BTCUSD,7795.2,7872.31,7787.62,7812.35,78.37,613703.87
1523595600,2018-04-13 05-AM,BTCUSD,7817,7828.71,7761.77,7795.2,44.7,348238.96
1523592000,2018-04-13 04-AM,BTCUSD,7823.06,7836,7797.65,7817,61.84,483554.09
1523588400,2018-04-13 03-AM,BTCUSD,7873,7894.74,7823.06,7823.06,97.33,764525.14
1523584800,2018-04-13 02-AM,BTCUSD,7789,7885.08,7789,7873,96.74,758781.8
1523581200,2018-04-13 01-AM,BTCUSD,7889.4,7892.75,7755.41,7789,129.83,1014558.99
1523577600,2018-04-13 12-AM,BTCUSD,7919.43,7970,7830.27,7889.4,250.09,1983926.03
1523574000,2018-04-12 11-PM,BTCUSD,7850.11,7977.66,7838.24,7919.43,157.6,1246951.01
1523570400,2018-04-12 10-PM,BTCUSD,7820.59,7850.11,7747.45,7850.11,87.36,681187.67
1523566800,2018-04-12 09-PM,BTCUSD,7727.18,7890.97,7706.26,7820.59,90.35,705318.43
1523563200,2018-04-12 08-PM,BTCUSD,7674,7729.73,7673.52,7727.18,65.97,508202.13
1523559600,2018-04-12 07-PM,BTCUSD,7678.52,7740,7670.29,7674,87.27,672015.55
1523556000,2018-04-12 06-PM,BTCUSD,7687.55,7695,7652.89,7678.52,91.31,701091.93
1523552400,2018-04-12 05-PM,BTCUSD,7615,7764.72,7615,7687.55,161.1,1239683.47
1523548800,2018-04-12 04-PM,BTCUSD,7625.09,7627.86,7571.09,7615,131.15,998552.36
1523545200,2018-04-12 03-PM,BTCUSD,7649.99,7650,7607.94,7625.09,92,702235.94
