unix,date,symbol,open,high,low,close,Volume BTC,Volume USDT
1638680400,2021-12-05 05:00:00,BTC/USDT,48946.21912569,49192.92533182,48880.11939669,49091.57504655,187738.42728491,3.82676543
1638678600,2021-12-05 04:30:00,BTC/USDT,48957.10825028,49201.89379152,48844.2654,48925.55220906,559354.17370283,11.42304566
1638676800,2021-12-05 04:00:00,BTC/USDT,49197.86081242,49240.01577461,48896.58682769,49002.82300004,121858.03389245,2.48649594
1638675000,2021-12-05 03:30:00,BTC/USDT,49134.56868151,49344.803,49134.56868151,49192.23141693,126211.92728238,2.56027106
1638673200,2021-12-05 03:00:00,BTC/USDT,49053.79607895,49258.48381761,48829.31781047,49130.41318643,163907.99707269,3.33869372
1638671400,2021-12-05 02:30:00,BTC/USDT,48967.92372074,49098.82542148,48850,49062.80613846,169977.85002612,3.46862678
1638669600,2021-12-05 02:00:00,BTC/USDT,49031.60447616,49055.50149867,48816.64496819,48967.92372075,299222.59351055,6.11912981
1638667800,2021-12-05 01:30:00,BTC/USDT,48747.82529829,49225.86367111,48745.46791104,49010.93038491,406596.20322111,8.28150775
1638666000,2021-12-05 01:00:00,BTC/USDT,48935.86471961,49056.91960725,48668.6768026,48739.92290591,437746.9903599,8.96027912
1638664200,2021-12-05 00:30:00,BTC/USDT,49268.08980246,49268.08980247,48357.83278621,48967.20300402,824308.02180592,16.93864399
1638662400,2021-12-05 00:00:00,BTC/USDT,49196.94195392,49681.07021811,49118.27291116,49298,1430370.11087602,28.90083355
1638660600,2021-12-04 23:30:00,BTC/USDT,49134.19841901,49257.02740374,48836.73469387,49168.43826744,318176.7873301,6.48354829
1638658800,2021-12-04 23:00:00,BTC/USDT,49203.59220539,49463.99998999,49030.7398,49110.15843958,364980.15751288,7.42180346
1638657000,2021-12-04 22:30:00,BTC/USDT,48733.55932867,49250,48733.55932867,49192.95841284,149137.46862588,3.03740529
1638655200,2021-12-04 22:00:00,BTC/USDT,48709.20038443,48811.68309589,48632.99393133,48751.46515937,246426.13612505,5.05790351
1638653400,2021-12-04 21:30:00,BTC/USDT,48926.32577307,48958.05653383,48521.96239131,48703.89637688,600415.9733489,12.30307613
1638651600,2021-12-04 21:00:00,BTC/USDT,49281.86178574,49342.10030177,48785.62292738,48917.93863408,1121700.24757787,22.89409683
1638649800,2021-12-04 20:30:00,BTC/USDT,49411.35884978,49461.27480189,49106.8802,49276.31831543,391120.75212387,7.92974553
1638648000,2021-12-04 20:00:00,BTC/USDT,49274.6236156,49449.25921976,48968.67282478,49426.08215816,689899.42738015,14.01347264
1638646200,2021-12-04 19:30:00,BTC/USDT,49208.53056913,49432.8012031,49197.37001683,49280.94574789,507294.49397984,10.28322416
1638644400,2021-12-04 19:00:00,BTC/USDT,48855.81070155,49332.65320311,48668.47980263,49225.52742709,783358.57077793,15.96048211
1638642600,2021-12-04 18:30:00,BTC/USDT,48512.37383446,48870.92900558,48500.27248197,48846.59726397,253523.60039503,5.20331837
1638640800,2021-12-04 18:00:00,BTC/USDT,48250.56397564,48608.91771859,48196.88847453,48481.08993928,245241.83718179,5.06532866
1638639000,2021-12-04 17:30:00,BTC/USDT,47963.37487336,48367.05577919,47922,48282.64129462,395611.55558116,8.22364309
1638637200,2021-12-04 17:00:00,BTC/USDT,47845.22467986,48017.72669521,47728.60041002,47941.09752056,389064.87459117,8.12098288
1638635400,2021-12-04 16:30:00,BTC/USDT,48305.67617056,48455.9064554,47768.8658021,47827.6361611,949662.94599664,19.74786512
1638633600,2021-12-04 16:00:00,BTC/USDT,48204.32599164,48396.4703694,47895.71038774,48289.84509196,332092.2867021,6.89645008
1638631800,2021-12-04 15:30:00,BTC/USDT,48256.23940458,48524.6112,48102.04081632,48242.78896924,593813.7162797,12.29035632
1638630000,2021-12-04 15:00:00,BTC/USDT,47808.98123109,48569.18325548,47773.83529251,48242.84956336,839126.10359692,17.44534944
1638628200,2021-12-04 14:30:00,BTC/USDT,47450.57650994,47831.9602478,47268.86480217,47806.20446857,265800.18247024,5.59886337
1638626400,2021-12-04 14:00:00,BTC/USDT,47376.50310591,47582.1184084,47272.79354896,47445.83230302,555072.53830344,11.70021946
1638624600,2021-12-04 13:30:00,BTC/USDT,47128.2933029,47432.38520377,47063.85632271,47380.67377741,729498.32990183,15.43995718
1638622800,2021-12-04 13:00:00,BTC/USDT,47073.1026891,47145.25858954,46750,47116.37470987,381574.08709289,8.11667166
1638621000,2021-12-04 12:30:00,BTC/USDT,47264.2948372,47383.31780475,46959.05872769,47111.34323448,671898.70414896,14.24172927
1638619200,2021-12-04 12:00:00,BTC/USDT,46522.93943664,47532.64420305,46522.93943664,47215.43508983,1431486.54664316,30.32987473
1638617400,2021-12-04 11:30:00,BTC/USDT,46922.68801964,46977.24815086,46152.79360405,46505.42779932,6423189.13212684,137.8871654
1638615600,2021-12-04 11:00:00,BTC/USDT,47379.2850648,47411.55908841,46800,46917.99513588,555445.72516315,11.82280134
1638613800,2021-12-04 10:30:00,BTC/USDT,47302.36505913,47477.95092696,46805.22541176,47373.49583128,849968.79281667,18.0422531
1638612000,2021-12-04 10:00:00,BTC/USDT,47480.58494256,47582.6,47300,47302.58750554,560308.85287562,11.81318897
1638610200,2021-12-04 09:30:00,BTC/USDT,47355.6740435,47657,47309.99999,47466.96176015,838468.7632996,17.65077576
1638608400,2021-12-04 09:00:00,BTC/USDT,47502.75222734,47691.11906538,47307.05507721,47347.36758708,339309.86063574,7.15002596
1638606600,2021-12-04 08:30:00,BTC/USDT,47698.3569746,47898.41640345,47386.1668,47502.75222734,1139076.81596849,23.91311297
1638604800,2021-12-04 08:00:00,BTC/USDT,47224.47140667,47770.33100559,47000,47770.33100559,1064631.35094395,22.46298235
1638603000,2021-12-04 07:30:00,BTC/USDT,47531.58452428,47552.34163992,46768.51680282,47251.60742687,876541.10020295,18.58005791
1638601200,2021-12-04 07:00:00,BTC/USDT,47519,47607.80072711,46625.79205807,47526.83098157,1198464.54051513,25.41530646
1638599400,2021-12-04 06:30:00,BTC/USDT,47741.17127081,48031,47283.9,47536.33369658,1299980.08975074,27.27594088
1638597600,2021-12-04 06:00:00,BTC/USDT,47500.40011326,47750,46824.17338997,47685.00659808,3274443.74279277,69.15009748
1638595800,2021-12-04 05:30:00,BTC/USDT,45470.60625148,47569,45267.79148301,47555.62354,5326849.31467746,114.08944253
1638594000,2021-12-04 05:00:00,BTC/USDT,50224.9278,50555.37369999,42000,45458.20233355,14040275.059991,296.11179439
1638592200,2021-12-04 04:30:00,BTC/USDT,52310.79860246,52459.98787211,49200,50301.6276,4915922.04954253,97.32331197
1638590400,2021-12-04 04:00:00,BTC/USDT,52000.38540644,52588.94909031,52000.38540643,52318.32790148,529778.8611226,10.14339731
1638588600,2021-12-04 03:30:00,BTC/USDT,52465.76909708,52651.05549362,52000,52000.38540644,294161.77235677,5.62463398
1638586800,2021-12-04 03:00:00,BTC/USDT,53106.05653212,53106.05653212,52340.60021937,52399.44450498,479769.99370585,9.12024143
1638585000,2021-12-04 02:30:00,BTC/USDT,52790.76288293,53106.05653212,52726.92051317,53105.50739432,54179.36309662,1.02360269
1638583200,2021-12-04 02:00:00,BTC/USDT,53013.11765181,53096.30237279,52740.00345966,52765.13935606,217244.58815778,4.09379356
1638581400,2021-12-04 01:30:00,BTC/USDT,52984.51216605,53093.64761644,52634.24030709,52988.73017575,176269.10040099,3.33327935
1638579600,2021-12-04 01:00:00,BTC/USDT,53029.98452692,53205.0373713,52643.64039683,52969.75339587,471807.18583226,8.91814323
1638577800,2021-12-04 00:30:00,BTC/USDT,53509.60244187,53602.34984143,53023.41288612,53045.28075013,258422.73877157,4.84356389
1638576000,2021-12-04 00:00:00,BTC/USDT,53659.68152928,53845.4805,53512.27888312,53513.11273568,111932.78400871,2.08525101
1638574200,2021-12-03 23:30:00,BTC/USDT,53543.30368971,53824.34322174,53473,53709.2614405,125677.88569941,2.33930023
1638572400,2021-12-03 23:00:00,BTC/USDT,53423.31263208,53707.41976944,53368.82880223,53598.48105669,169562.75422516,3.16582026
1638570600,2021-12-03 22:30:00,BTC/USDT,53399.66096457,53704.24123817,53370.96167132,53438.64457319,249001.3015699,4.65538133
1638568800,2021-12-03 22:00:00,BTC/USDT,53618.20590188,53720.65249615,53090.49992292,53398.56005107,557153.90200607,10.42675773
1638567000,2021-12-03 21:30:00,BTC/USDT,53735.22940686,53948.61284561,53622.56454699,53633.38412017,391253.93285047,7.26621852
1638565200,2021-12-03 21:00:00,BTC/USDT,53403.75771313,54027.05399999,53368.92907729,53714.2,586221.13337108,10.89430738
1638563400,2021-12-03 20:30:00,BTC/USDT,53087.40412291,53554.56362161,52661,53489.99999999,1221577.475129,23.00880067
1638561600,2021-12-03 20:00:00,BTC/USDT,53835.4242926,54028.67530208,51700,53142.29998999,7978176.33419241,150.28187939
1638559800,2021-12-03 19:30:00,BTC/USDT,54280.71527304,54387.61469049,53745.08788743,53811.44684302,1822926.46785046,33.78114756
1638558000,2021-12-03 19:00:00,BTC/USDT,54842.4833219,54892.70984776,54200.15453164,54301.80942326,1184154.61277027,21.73422082
1638556200,2021-12-03 18:30:00,BTC/USDT,55020.64885687,55116.13259993,54478.19537175,54854.39291433,594262.02819079,10.84611208
1638554400,2021-12-03 18:00:00,BTC/USDT,54972.75851906,55151.435,54885.76187778,55029.65713687,289468.44401633,5.25772647
1638552600,2021-12-03 17:30:00,BTC/USDT,54870.70003076,55023.42596664,54694.41837241,54989.787856,390553.93465733,7.11105434
1638550800,2021-12-03 17:00:00,BTC/USDT,54952.35044,55078.46240182,54621.90509981,54876.18721607,698976.06752074,12.72786162
1638549000,2021-12-03 16:30:00,BTC/USDT,55407.75714414,55549.95120858,54887.63396492,54981.75276344,537443.98810787,9.72947475
1638547200,2021-12-03 16:00:00,BTC/USDT,55933.12761323,55935.09998999,54978.19537176,55388.96329827,2610665.58202568,47.12947094
